,data_set,model,Unnamed: 0.1,Unnamed: 0_x,Graph_x,batch_size_x,cache_dir_x,emb_dropout_x,folds_x,graph_noise_x,lambd_x,latent_dim_x,loss_x,lr_x,n_layers_x,nepochs_x,rating_gate_x,resume_state_x,split_x,tensorboard_path,noise_ratio_x,train_percent_x,valid_percent_x,MAE,train_time_x
4,Amazon_Books20,DC-GCN_DC,4,4,,2048,log/opiniongcn_gcn-Amazon_Books2096d8609ab9a6625379507d134819cf24/cache,0,100,0,0,64,MSE,0.001,1,1000,5,TRUE,FALSE,log/opiniongcn_gcn-Amazon_Books2096d8609ab9a6625379507d134819cf24/6acd76547a19f234d204aa270a8b5a9d/log_tensorboard,0,0.8,0.1,0.6188647,0 days 00:42:47
7,Amazon_CDs_and_Vinyl10,DC-GCN_DC,7,7,,2048,log/opiniongcn_gcn-Amazon_CDs_and_Vinyl1096d8609ab9a6625379507d134819cf24/cache,0,100,0,0,64,MSE,0.001,2,1000,5,TRUE,FALSE,log/opiniongcn_gcn-Amazon_CDs_and_Vinyl1096d8609ab9a6625379507d134819cf24/b6d3e0a46629d2fcb1afc4975777ed31/log_tensorboard,0,0.8,0.1,0.6968009,0 days 00:05:08
2,Amazon_Movies_and_TV10,DC-GCN_DC,2,2,,2048,log/opiniongcn_gcn-Amazon_Movies_and_TV1096d8609ab9a6625379507d134819cf24/cache,0,100,0,0.0001,64,MSE,0.001,1,1000,5,TRUE,FALSE,log/opiniongcn_gcn-Amazon_Movies_and_TV1096d8609ab9a6625379507d134819cf24/10206140d3c9de0bccc4d97cde859893/log_tensorboard,0,0.8,0.1,0.74270034,0 days 00:16:15
36,yelp2018_20,DC-GCN_DC,36,0,,2048,log/opiniongcn_gcn-yelp2018_2096d8609ab9a6625379507d134819cf24/cache,0,100,0,0,64,MSE,0.001,1,1000,5,TRUE,FALSE,log/opiniongcn_gcn-yelp2018_2096d8609ab9a6625379507d134819cf24/6acd76547a19f234d204aa270a8b5a9d/log_tensorboard,0,0.8,0.1,0.79302853,0 days 00:07:12
